commit	latency_p95_ms	latency_p50_ms	val_micro_f1	val_macro_f1	peak_vram_gb	status	description
d599d5a	9239.1	9032.5	0.8941	0.8186	10.5	keep	baseline (soup.ckpt, bf16 autocast, SDPA, chunk=256, CE-only, 4090; bench n_warmup=5 n_measure=30; eval 10k subset); f1_exact=0.9379 (full val, retroactive)
ed8410b	10452.7	10222.0	0.8941	0.8186	15.5	discard	hoist tokenization + chunk 256→512 (slower; chunk=512 pushes B*S past 4090 L2/SDPA sweet spot, peak VRAM 10.5→15.5 GB)
7bfc23c	9211.4	8972.2	0.8938	0.8189	11.0	keep	bf16 weights (was fp32+bf16 autocast); -22 ms p95, F1 within noise; f1_exact=0.9379 (same soup.ckpt; serve-only optim)
d24ce75	8478.8	8435.6	0.8938	0.8189	9.5	keep	+ torch.compile encoder (default mode); -732 ms p95, peak VRAM 11.0→9.5; f1_exact=0.9379 (same soup.ckpt; serve-only optim)
f99389f	8504.1	8463.8	0.8938	0.8189	4.3	keep	+ SERVE_COMPILE_MODE env (still default mode in production); reduce-overhead trial: same p95, peak VRAM 9.5→4.3 (gives memory headroom for future levers); f1_exact=0.9379 (same soup.ckpt)
3510d4e	8337.3	8314.7	0.8938	0.8189	6.0	keep	+ compile mode max-autotune (default); -142 ms p95 over compile-default; 75s first-request compile cost amortized; f1_exact=0.9379 (same soup.ckpt)
distill1	6555.1	4659.3	0.8587	0.7282	4.1	discard	distill gelectra-large→base, 1h budget, T=2.0 alpha=0.7 lr=3e-5; floor violated (Complement F1 dropped 0.69→0.45); latency 1.7× speedup confirms direction
distill2-step4879	-	-	0.8464	-	-	discard	distill iter2 first val (0.25 ep) lr=5e-5 T=1.5 α=0.5 cw=true; micro 0.8464 < 0.860 floor; killed at 30 min per new 20-min budget policy
sweep-A-v2	-	-	0.4631	0.1583	-	discard	lr=1e-4 T=2.0 α=0.7 cw=false; collapsed to "all Exact" prediction (recall_exact=1.0, others=0); LR too high for cold-start
sweep-B	-	-	0.4631	0.1583	-	discard	lr=5e-5 T=2.0 α=0.7 cw=false; learning then collapsed at step ~2000-3000 (peaked 0.8498 micro at step 1949 then crashed to "all Exact"); LR 5e-5 unstable
sweep-C-v2	-	-	0.8535	0.6821	-	keep-explore	lr=3e-5 T=2.0 α=0.7 cw=false warmup=0.1 grad_clip=1.0; trajectory monotone-up across 5 vals (micro 0.81→0.85, macro 0.57→0.68, complement 0→0.28); macro just under 0.710 cutoff but +0.057/interval at end — strong escalation candidate
sweep-D	-	-	0.8444	0.6573	-	discard	+ focal_gamma=2.0 (else same as C v2); micro 0.8444<0.8472 prev step (trajectory not monotone), all metrics worse than C v2; focal slightly hurts at this scale
distill-final	7051.9	4668.3	0.8586	0.7237	4.1	discard	2h finalize gelectra-base sweep-C-v2 hyperparams; full val micro 0.8586/macro 0.7237 fail floor (0.860/0.740) by 0.0014/0.0163; complement F1 0.42 still bottleneck; latency torch p95=7051 (high variance) — also fail 2500ms target; f1_exact=0.9032 (would PASS new binary floor 0.880; latency still failed)
onnx-cuda	12740.5	12652.1	0.8587	0.7271	15.6	discard	ONNX RT CUDA EP gelectra-base; same eval as torch; bench 2× SLOWER than torch.compile+max-autotune (no fused SDPA in graph; 15.6 GB peak VRAM)
onnx-trt	12684.8	12610.6	-	-	19.4	crash	TRT EP unavailable: libnvinfer.so.10 missing; ORT silently fell back to CUDA EP (numbers same as cuda row above)
sweep-6L-pruned	-	-	0.7832	0.5295	-	discard	6L pruned gelectra-large (init from teacher first 6 layers); 20-min sweep, lr=3e-5; final micro 0.78 / macro 0.53 — well below keep-explore cutoffs, AND trajectory declining at end (peak step 3899); 6L from 24L is too aggressive a cut, 12L base distill remains the better quality candidate
onnx-int8	-	-	-	-	-	crash	ONNX RT INT8 dynamic on CUDA EP: 172 Memcpy nodes inserted (no INT8 mm kernels for transformer ops on CUDA EP); eval ran 17min and stalled — effectively unusable without TensorRT. INT8 path needs static quant + TRT EP, both blocked by missing libnvinfer.so.10
ad5c02b-large	7355.5	7314.8	0.8941	0.8186	6.0	keep	gelectra-large + bf16 weights + max-autotune compile + fast renderer; -982 ms p95 vs 8337 (renderer was 2.5s/req of 2000 offers); quality unchanged from baseline (renderer is byte-equal to slow path); narrow variance (p95-p50=41 ms); f1_exact=0.9379 (same soup.ckpt)
distill-fast	5393.1	3666.0	0.8586	0.7237	4.1	discard	gelectra-base 12L distilled + max-autotune + fast renderer; latency 5393 p95 still over 2500 target by 2x; quality micro 0.8586/macro 0.7237 below floor by 0.0014/0.0163 (subset-noise margin); recommended next track: longer distill + smaller batch ratio OR pivot to fp8/TRT once libnvinfer is provisioned; f1_exact=0.9032 (would PASS new binary floor)
threaded-renderer	7485.8	5244.6	-	-	4.1	discard	ThreadPoolExecutor(4) on _render_offer_fast: p50 +1500ms, p95 +2000ms — GIL contention + thread setup outweighs concurrent regex scan; sequential path is optimal
a8e5b1f	4291.2	3017.5	0.8586	0.7237	4.1	keep-explore	gelectra-base distilled + bf16 + max-autotune compile + fast renderer + fast normalize (skip no-op regex passes); -1102 ms p95 vs prior; quality unchanged (renderer is byte-equal); over 2500 target by 1.7×; f1_exact=0.9032 (full val, 2h angry-slug-883 ckpt; PASSES new binary floor)
3368b9d-distill	3075.5	2963.5	0.8586	0.7237	3.2	keep-explore	gelectra-base distilled + chunk=128 (was 256); -1216 ms p95 (variance collapsed too: max-min 250 vs 1300); now 3075 p95 (575 ms over 2500 target); peak VRAM 3.2 GB; f1_exact=0.9032 (full val, 2h angry-slug-883 ckpt; PASSES new binary floor)
3368b9d-large	6649.5	6604.5	0.8941	0.8186	3.6	keep	gelectra-large + chunk=128 + fast renderer/normalize/orjson stack; -706 ms p95 vs prior gelectra-large keep (7355); production cumulative -2585 ms p95 from baseline 9234; f1_exact=0.9379 (full val, soup.ckpt teacher safety net)
distill-long	3107.8	3012.5	0.8628	0.7239	3.2	discard	4h gelectra-base finalize (lr=3e-5 T=2.0 α=0.7 warmup=0.05 grad_clip=1.0); FULL val micro 0.8628 PASSES floor 0.860 (+0.004 vs prior); macro 0.7239 still fails 0.740 by 0.016; complement F1 0.4122 the persistent bottleneck; latency p95 3107 ms with pipelined path (chunk=128 + render+tok overlap with GPU forward); 64% reduction from baseline 9234 but still 24% over 2500 target — needs smaller student (retain H=1024 8L pruned-large) or fp8/TRT (libnvinfer now installed; export+TRT engine path didn't fuse SDPA in current ORT 1.25/TRT 10.16 combo)
7f7b580	3107.8	3012.5	0.8626	0.7242	3.2	keep	distill-long-binary: same 4h gelectra-base finalize ckpt re-scored on full val under new binary floor; f1_exact=0.9081 PASSES floor 0.880 (+0.028 margin); flips from prior discard (was gated on macro 0.740 which failed by 0.016 due to complement F1 0.4137 plateau); becomes new production candidate at 3107 ms p95 (575 ms over 2500 target) — gelectra-large at 6649 ms remains safety net
c7b4720	-	-	0.7725	0.4118	-	keep-explore	binary-head 12L gelectra-base 20-min exploratory (lr=3e-5 T=2 α=0.7 grad_clip=1.0 warmup=0.1 bce-with-logits KL); f1_exact=0.8844 (full val) JUST clears floor 0.880 (+0.004, within ±0.003 noise); trajectory peaked at val#2 step 1949 then declined slightly (sigmoid threshold drift); ranking metrics monotone-up (mrr_exact 0.91→0.95, recall@10 0.97→0.99); micro/macro low because predictions clamp to {EXACT, IRRELEVANT} via 4-channel inflation [0,0,0,b+ln3] (f1_substitute/complement collapse by construction); does NOT Pareto-improve over 4h 4-class keep at 0.9081 — same 3107 ms latency, lower f1_exact; informs that 20-min binary is fast-converging proof-of-concept; next: 8L binary for actual latency win
9ccbd27	3676.5	2998.9	0.7552	0.4019	2.8	discard	binary-head 8L pruned gelectra-base 20-min exploratory (same hyperparams as 12L binary; prune_layers=8 drops layers 8-11 of 12L base); f1_exact=0.8644 (full val) — BELOW 0.880 floor by 0.016 (above keep-explore 0.840 by 0.024); NOT Pareto-improving on latency: p95=3676 vs 12L's 3107 (p50=2998 essentially same as 12L p50=3012). Smaller backbone DOESN'T help latency at this batch size — CPU prep (tokenize 2000 offers + JSON I/O ~1.5s) dominates over encoder forward; pipelined renderer/tokenize already overlaps with forward, so cutting forward FLOPs by 1/3 just leaves more idle GPU. Lesson: latency lever needs to be on prep side OR fundamentally faster forward (INT8/fp8/fused MHA), not smaller-backbone
123cd84	8004.9	-	-	-	-	discard	bnb8 = bitsandbytes 8-bit on 12L gelectra-base 4h ckpt; warm requests 9354/8598/8004 ms (2.5x slower than torch bf16 baseline 3000); aborted before measurement. bnb.Linear8bitLt has high per-call overhead (LLM.int8 outlier extraction at threshold=6 + LtIgemm setup + dequant) that dominates LtIgemm savings at our small per-chunk batch (128, 512). Path may improve with newer bnb releases but currently a dead-end for this shape
